OOP244,50,Achieve 50% or better on weighted average of test,Successful submission of projects
DCF255,50,Achieve 50% or better on weighted average of FINAL,Achieve 50% or better on weighted average of tests
DBS211,50,Achieve 50% or better on weighted average of tests,
WEB222,50,Achieve 50% or better on weighted average of Final,Achieve 50% or better on weighted average of Final & test
OOP345,50,Achieve a grade of 50% or better on the weighted average of the tests,Submit a complete working Project
DBS311,50,Achieve a grade of 50% or better on the weighted average of the tests and final assessment,"Satisfactory participation in, and submission of the final group project"
WEB322,50,Achieve an average of 50% or better for all assignments,Achieve an average of 50% or better for all tests
